State2,ISO,Old_Name,Value
Andaman and Nicobar Islands,IN-AN,Andaman and Nicobar Island,1
Andhra Pradesh,IN-AP,Andhra Pradesh,2
Arunachal Pradesh,IN-AR,Arunachal Pradesh,3
Assam,IN-AS,Assam,4
Bihar,IN-BR,Bihar,5
Chandigarh,IN-CH,CHANDIGARH,6
Chhattisgarh,IN-CT,Chhattisgarh,7
Dadara and Nagar Haveli,IN-DH,Dadra and Nagar Haveli,8
Daman and Diu,,Daman and Diu,9
Goa,IN-GA,Goa,10
Gujarat,IN-GJ,Gujarat,11
Haryana,IN-HR,Haryana,12
Himachal Pradesh,IN-HP,Himachal Pradesh,13
Jammu and Kashmir,IN-JK,Jammu and Kashmir,14
Jharkhand,IN-JH,Jharkhand,15
Karnataka,IN-KA,Karnataka,16
Kerala,IN-KL,Kerala,17
Laddakh,IN-JK,Laddak,18
Madhya Pradesh,IN-MP,Madhya Pradesh,19
Maharashtra,IN-MH,Maharashtra,20
Manipur,IN-MN,Manipur,21
Meghalaya,IN-ML,Meghalaya,22
Mizoram,IN-MZ,Mizoram,23
Nagaland,IN-NL,Nagaland,24
Odisha,IN-OR,Odisha,25
Punjab,IN-PB,Punjab,26
Rajasthan,IN-RJ,Rajasthan,27
Sikkim,IN-SK,Sikkim,28
Tamil Nadu,IN-TN,Tamil Nadu,29
Tamil Nadu,IN-PY,Puducherry,30
Telangana,IN-TG,Telangana,31
Dadara and Nagar Havelli,IN-DH,THE DADRA AND NAGAR HAVELI,32
Tripura,IN-TR,Tripura,33
Uttar Pradesh,IN-UP,Uttar Pradesh,34
Uttarakhand,IN-UT,Uttarakhand,35
West Bengal,IN-WB,West Bengal,36
