State2,Crop,Value,Area ,state_order,Old_Name
Andaman & Nicobar Island,,1,,,Andaman and Nicobar Island
Andhra Pradesh,,2,,,Andhra Pradesh
Arunachal Pradesh,,3,,,Arunachal Pradesh
Assam,,4,,,Assam
Bihar,,5,,,Bihar
Chandigarh,,6,,,CHANDIGARH
Chhattisgarh,,7,,,Chhattisgarh
Dadara & Nagar Havelli,,8,,,Dadra and Nagar Haveli
Daman & Diu,,9,,,Daman and Diu
Goa,,10,,,Goa
Gujarat,,11,,,Gujarat
Haryana,,12,,,Haryana
Himachal Pradesh,,13,,,Himachal Pradesh
Jammu & Kashmir,,14,,,Jammu and Kashmir
Jharkhand,,15,,,Jharkhand
Karnataka,,16,,,Karnataka
Kerala,,17,,,Kerala
Jammu & Kashmir,,18,,,Laddak
Madhya Pradesh,,19,,,Madhya Pradesh
Maharashtra,,20,,,Maharashtra
Manipur,,21,,,Manipur
Meghalaya,,22,,,Meghalaya
Mizoram,,23,,,Mizoram
Nagaland,,24,,,Nagaland
Odisha,,25,,,Odisha
Punjab,,26,,,Punjab
Rajasthan,,27,,,Rajasthan
Sikkim,,28,,,Sikkim
Tamil Nadu,,29,,,Tamil Nadu
Tamil Nadu,,30,,,Puducherry
Telangana,,31,,,Telangana
Dadara & Nagar Havelli,,32,,,THE DADRA AND NAGAR HAVELI
Tripura,,33,,,Tripura
Uttar Pradesh,,34,,,Uttar Pradesh
Uttarakhand,,35,,,Uttarakhand
West Bengal,,36,,,West Bengal
